ID	Individual	Experiment	Run	FASTQ_URI	molecular_subtype
BC08.4	BC08	SRX2350277	SRR5023567		 (TNBC)
BC08.5	BC08	SRX2350278	SRR5023568		 (TNBC)
BC08.6	BC08	SRX2350279	SRR5023569		 (TNBC)
BC08.7	BC08	SRX2350280	SRR5023570		 (TNBC)
BC08.8	BC08	SRX2350281	SRR5023571		 (TNBC)
BC08.9	BC08	SRX2350282	SRR5023572		 (TNBC)
BC08.10	BC08	SRX2350283	SRR5023573		 (TNBC)
BC08.11	BC08	SRX2350284	SRR5023574		 (TNBC)
BC08.12	BC08	SRX2350285	SRR5023575		 (TNBC)
BC08.13	BC08	SRX2350286	SRR5023576		 (TNBC)
BC08.14	BC08	SRX2350287	SRR5023577		 (TNBC)
BC08.15	BC08	SRX2350288	SRR5023578		 (TNBC)
BC08.16	BC08	SRX2350289	SRR5023579		 (TNBC)
BC08.17	BC08	SRX2350290	SRR5023580		 (TNBC)
BC08.18	BC08	SRX2350291	SRR5023581		 (TNBC)
BC08.19	BC08	SRX2350292	SRR5023582		 (TNBC)
BC08.20	BC08	SRX2350293	SRR5023583		 (TNBC)
BC08.21	BC08	SRX2350294	SRR5023584		 (TNBC)
BC08.22	BC08	SRX2350295	SRR5023585		 (TNBC)
BC09	BC09	SRX2350296	SRR5023586		 (TNBC)
BC09.1	BC09	SRX2350297	SRR5023587		 (TNBC)
BC09.2	BC09	SRX2350298	SRR5023588		 (TNBC)
BC09.3	BC09	SRX2350299	SRR5023589		 (TNBC)
BC09.4	BC09	SRX2350300	SRR5023590		 (TNBC)
BC09.5	BC09	SRX2350301	SRR5023591		 (TNBC)
BC09.6	BC09	SRX2350302	SRR5023592		 (TNBC)
BC09.7	BC09	SRX2350303	SRR5023593		 (TNBC)
BC09.8	BC09	SRX2350304	SRR5023594		 (TNBC)
BC09.9	BC09	SRX2350305	SRR5023595		 (TNBC)
BC09.10	BC09	SRX2350306	SRR5023596		 (TNBC)
BC09.11	BC09	SRX2350307	SRR5023597		 (TNBC)
BC09.12	BC09	SRX2350308	SRR5023598		 (TNBC)
BC09.13	BC09	SRX2350309	SRR5023599		 (TNBC)
BC09.14	BC09	SRX2350310	SRR5023600		 (TNBC)
BC09.15	BC09	SRX2350311	SRR5023601		 (TNBC)
BC09.16	BC09	SRX2350312	SRR5023602		 (TNBC)
BC09.17	BC09	SRX2350313	SRR5023603		 (TNBC)
BC09.18	BC09	SRX2350314	SRR5023604		 (TNBC)
BC09.19	BC09	SRX2350315	SRR5023605		 (TNBC)
BC09.20	BC09	SRX2350316	SRR5023606		 (TNBC)
BC09.21	BC09	SRX2350317	SRR5023607		 (TNBC)
BC09.22	BC09	SRX2350318	SRR5023608		 (TNBC)
BC09.23	BC09	SRX2350319	SRR5023609		 (TNBC)
BC09.24	BC09	SRX2350320	SRR5023610		 (TNBC)
BC09.25	BC09	SRX2350321	SRR5023611		 (TNBC)
BC09.26	BC09	SRX2350322	SRR5023612		 (TNBC)
BC09.27	BC09	SRX2350323	SRR5023613		 (TNBC)
BC09.28	BC09	SRX2350324	SRR5023614		 (TNBC)
BC09_Re	BC09_Re	SRX2350325	SRR5023615		 (TNBC)
BC09_Re.1	BC09_Re	SRX2350326	SRR5023616		 (TNBC)
BC09_Re.2	BC09_Re	SRX2350327	SRR5023617		 (TNBC)
BC09_Re.3	BC09_Re	SRX2350328	SRR5023618		 (TNBC)
BC09_Re.4	BC09_Re	SRX2350329	SRR5023619		 (TNBC)
BC09_Re.5	BC09_Re	SRX2350330	SRR5023620		 (TNBC)
BC09_Re.6	BC09_Re	SRX2350331	SRR5023621		 (TNBC)
BC09_Re.7	BC09_Re	SRX2350332	SRR5023622		 (TNBC)
BC09_Re.8	BC09_Re	SRX2350333	SRR5023623		 (TNBC)
BC09_Re.9	BC09_Re	SRX2350334	SRR5023624		 (TNBC)
BC09_Re.10	BC09_Re	SRX2350335	SRR5023625		 (TNBC)
BC09_Re.11	BC09_Re	SRX2350336	SRR5023626		 (TNBC)
BC09_Re.12	BC09_Re	SRX2350337	SRR5023627		 (TNBC)
BC09_Re.13	BC09_Re	SRX2350338	SRR5023628		 (TNBC)
BC09_Re.14	BC09_Re	SRX2350339	SRR5023629		 (TNBC)
BC09_Re.15	BC09_Re	SRX2350340	SRR5023630		 (TNBC)
BC09_Re.16	BC09_Re	SRX2350341	SRR5023631		 (TNBC)
BC09_Re.17	BC09_Re	SRX2350342	SRR5023632		 (TNBC)
BC09_Re.18	BC09_Re	SRX2350343	SRR5023633		 (TNBC)
BC09_Re.19	BC09_Re	SRX2350344	SRR5023634		 (TNBC)
BC09_Re.20	BC09_Re	SRX2350345	SRR5023635		 (TNBC)
BC09_Re.21	BC09_Re	SRX2350346	SRR5023636		 (TNBC)
BC09_Re.22	BC09_Re	SRX2350347	SRR5023637		 (TNBC)
BC09_Re.23	BC09_Re	SRX2350348	SRR5023638		 (TNBC)
BC09_Re.24	BC09_Re	SRX2350349	SRR5023639		 (TNBC)
BC09_Re.25	BC09_Re	SRX2350350	SRR5023640		 (TNBC)
BC09_Re.26	BC09_Re	SRX2350351	SRR5023641		 (TNBC)
BC09_Re.27	BC09_Re	SRX2350352	SRR5023642		 (TNBC)
BC09_Re.28	BC09_Re	SRX2350353	SRR5023643		 (TNBC)
BC09_Re.29	BC09_Re	SRX2350354	SRR5023644		 (TNBC)
BC09_Re.30	BC09_Re	SRX2350355	SRR5023645		 (TNBC)
BC10	BC10	SRX2350356	SRR5023646		 (TNBC)
BC10.1	BC10	SRX2350357	SRR5023647		 (TNBC)
BC10.2	BC10	SRX2350358	SRR5023648		 (TNBC)
BC10.3	BC10	SRX2350359	SRR5023649		 (TNBC)
BC10.4	BC10	SRX2350360	SRR5023650		 (TNBC)
BC10.5	BC10	SRX2350361	SRR5023651		 (TNBC)
BC10.6	BC10	SRX2350362	SRR5023652		 (TNBC)
BC10.7	BC10	SRX2350363	SRR5023653		 (TNBC)
BC10.8	BC10	SRX2350364	SRR5023654		 (TNBC)
BC10.9	BC10	SRX2350365	SRR5023655		 (TNBC)
BC10.10	BC10	SRX2350366	SRR5023656		 (TNBC)
BC10.11	BC10	SRX2350367	SRR5023657		 (TNBC)
BC10.12	BC10	SRX2350368	SRR5023658		 (TNBC)
BC10.13	BC10	SRX2350369	SRR5023659		 (TNBC)
BC10.14	BC10	SRX2350370	SRR5023660		 (TNBC)
BC10.15	BC10	SRX2350371	SRR5023661		 (TNBC)
BC11	BC11	SRX2350372	SRR5023662		 (TNBC)
BC11.1	BC11	SRX2350373	SRR5023663		 (TNBC)
BC11.2	BC11	SRX2350374	SRR5023664		 (TNBC)
BC11.3	BC11	SRX2350375	SRR5023665		 (TNBC)
BC11.4	BC11	SRX2350376	SRR5023666		 (TNBC)
BC11.5	BC11	SRX2350377	SRR5023667		 (TNBC)
BC11.6	BC11	SRX2350378	SRR5023668		 (TNBC)
BC11.7	BC11	SRX2350379	SRR5023669		 (TNBC)
BC11.8	BC11	SRX2350380	SRR5023670		 (TNBC)
BC11.9	BC11	SRX2350381	SRR5023671		 (TNBC)
BC11.10	BC11	SRX2350382	SRR5023672		 (TNBC)
